Fees,School,County,Sat2015,Uni2015,Progression,UCD,TCD,DCU,UL,Maynooth,NUIG,UCC,St Angelas,QUB,UU,Blanch.IT,NatColIrl,Dublin.IT,Tallaght.IT,Athlone.IT,Cork.IT,Dundalk.IT,GM.IT,IADT,Carlow.IT,Sligo.IT,Tralee.IT,Letterkenny.IT,Limerick.IT,W.IT,Marino,CoICollEd,MaryI,NCAD,RCSI,SCHM
No,"Clonakilty Community College, Clonakilty, Co. Cork",Cork,70,64,0.914285714,2,2,0,4,0,1,24,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
No,"Hamilton High School, Laurel Walk, Bandon, Co Cork",Cork,58,53,0.913793103,1,0,0,2,0,0,31,0,0,0,0,0,1,0,0,11,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0
No,"Christian Brothers Secondary School, Mitchelstown, Co. Cork",Cork,57,52,0.912280702,0,1,0,15,0,0,16,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0
No,"Coláiste Treasa, Kanturk, Mallow, Co. Cork",Cork,78,71,0.91025641,2,0,0,4,0,0,21,0,0,0,0,0,1,0,0,24,0,0,0,0,0,5,0,2,7,0,0,5,0,0,0
No,"Kinsale Community School, Kinsale, Co. Cork",Cork,106,96,0.905660377,3,4,1,8,4,1,21,0,0,0,0,0,0,0,0,46,0,0,0,1,1,0,0,1,2,0,0,3,0,0,0
No,"Patrician Academy, Mallow, Co Cork",Cork,48,43,0.895833333,2,1,0,2,1,1,13,0,0,0,0,0,0,0,0,13,0,1,0,1,0,4,0,0,1,0,0,2,0,0,1
No,"St Angela's College, Griffith College Campus, Wellington Road, Cork",Cork,81,72,0.888888889,1,1,1,0,0,0,44,0,0,0,0,0,1,0,0,17,0,1,1,0,0,0,0,1,0,0,0,3,0,1,0
No,"Sacred Heart Secondary School, Clonakilty, Co Cork",Cork,86,76,0.88372093,5,1,4,10,0,1,25,1,0,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,3,0,0,5,0,3,0
No,"Mount St Michael's, Rosscarbery, Co Cork",Cork,60,53,0.883333333,4,2,1,3,0,2,16,0,0,0,0,0,3,0,1,13,0,0,1,0,1,0,0,0,5,0,0,1,0,0,0
No,"Scoil Mhuire, Beal Athan Ghaorthaidh, Co Chorcaí",Cork,17,15,0.882352941,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,1,0,0,3,0,0,0
No,"St Mary's Secondary School, Convent Of Mercy, Mallow, Co Cork",Cork,84,74,0.880952381,4,3,1,9,0,1,34,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,3,0,8,0,0,0
No,"St Francis Capuchin College, Rochestown, Cork City",Cork,97,85,0.87628866,1,2,0,2,0,0,56,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
